gen,fidelity,predicates,uncovered,rules
92,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
93,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 3.00]→0 | [mean radius >= 3.18 AND mean radius > 1.53 AND mean texture > -1.39]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
94,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
95,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
96,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
97,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
98,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
99,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
100,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == -0.96 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
101,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
102,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == -0.96 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
103,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == -0.96 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
104,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
105,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == -0.96 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
106,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
107,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean texture == -0.96 AND compactness error <= 3.44 AND mean compactness == 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
108,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
109,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -1.67]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
110,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 3.79 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
111,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -1.67]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
112,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 3.79 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
113,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -1.67]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
114,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 3.79 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
115,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -1.67]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
116,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 3.79 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
117,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -1.67]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
118,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 3.79 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
119,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 3.79 AND mean texture > -1.67]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
120,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 3.79 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
121,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 3.79 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
122,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 3.79 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
123,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 3.79 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
124,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 3.79 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
125,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 3.79 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
126,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 3.79 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
127,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 3.79 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
128,1.0,11.0,139.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [mean radius >= -0.34 AND mean radius > 3.79 AND mean texture > -1.67]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
129,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
130,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
131,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
132,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
133,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
134,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
135,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
136,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
137,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
138,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
139,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
140,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
141,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
142,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
143,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
144,1.0,7.0,139.0,[worst texture == 2.27]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
145,1.0,10.0,138.0,[worst texture >= 3.29]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -1.67]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
146,1.0,10.0,138.0,[worst texture >= 3.29]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -1.67]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
147,1.0,10.0,138.0,[worst texture >= 3.29]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -1.67]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
148,1.0,10.0,138.0,[worst texture >= 3.29]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -1.67]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0
149,1.0,14.0,136.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 1.93]→0 | [mean smoothness <= 0.16 AND symmetry error >= 5.59]→0 | [worst symmetry > 1.52 AND worst fractal dimension >= 0.32]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0 | [mean symmetry > 2.72 AND mean concavity == 2.86 AND mean compactness == 2.03]→1
150,1.0,14.0,136.0,[worst texture == -1.33]→0 | [worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 1.93]→0 | [mean smoothness <= 0.16 AND symmetry error >= 5.59]→0 | [worst symmetry > 1.52 AND worst fractal dimension >= 0.32]→0 | [worst symmetry >= 1.52 AND worst fractal dimension >= 0.32]→0 | [mean symmetry > 2.72 AND mean concavity == 2.86 AND mean compactness == 2.03]→1
151,1.0,7.0,134.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
152,1.0,7.0,134.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
153,1.0,7.0,134.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
154,1.0,7.0,134.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
155,1.0,7.0,134.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [worst fractal dimension == 5.30]→0 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
156,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
157,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
158,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
159,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
160,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
161,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
162,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
163,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
164,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
165,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
166,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
167,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
168,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
169,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
170,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
171,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
172,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
173,1.0,7.0,131.0,[worst radius >= 1.25]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
174,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
175,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
176,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
177,1.0,7.0,129.0,[worst radius >= 1.17]→0 | [worst concave points <= -0.41]→1 | [fractal dimension error <= 2.46 AND worst fractal dimension > 2.17]→0 | [texture error <= -1.45]→1 | [worst symmetry >= 1.15 AND worst fractal dimension >= 0.32]→0
